title,keySpecs,rating,ratingCount,price,url
YONEX ZR 100 LIGHT Black Strung Badminton Racquet,"['Cover: Full Cover', 'Strung Type:- Strung', 'Grip Size: G4 - 8.25 cm', 'Weight: 400 g', 'Head Shape:- Isometric Shape', 'Beam Width:- 10 mm']",4,3627,500,http://dl.flipkart.com/dl/yonex-zr-100-light-black-strung-badminton-racquet/p/itmf3b7f3c3b04bc?pid=RAQFKJJQNTBFXGRH
YONEX GR 303 F Yellow Strung Badminton Racquet,"['Cover: Full Cover', 'Strung Type:- Strung', 'Grip Size: G3 - 8.89 cm', 'Weight: 95 g', 'Head Shape:- Isometric Shape', 'Beam Width:- 203 mm']",4,116635,449,http://dl.flipkart.com/dl/yonex-gr-303-f-yellow-strung-badminton-racquet/p/itmff0604b91da3c?pid=RAQEFKAURNUTMYDT
YONEX MAVIS 350 Nylon Shuttle  - Yellow,"['Nylon', 'Slow, 75']",4.3,56653,949,http://dl.flipkart.com/dl/yonex-mavis-350-nylon-shuttle-yellow/p/itmfcjdyhnghfyey?pid=STLEFJ7UFQGRUUR3
YONEX GR 303 F Multicolor Strung Badminton Racquet,"['Cover: Full Cover', 'Strung Type:- Strung', 'Grip Size: G3 - 8.89 cm', 'Weight: 95 g', 'Head Shape:- Isometric Shape', 'Beam Width:- 203 mm']",4,116635,479,http://dl.flipkart.com/dl/yonex-gr-303-f-multicolor-strung-badminton-racquet/p/itm99dc329c05343?pid=RAQEET35NDAZZWUB
YONEX MP 29 LT Multicolor Strung Badminton Racquet,"['Cover: Half Cover', 'Strung Type:- Strung', 'Grip Size: G4 - 8.25 cm', 'Weight: 85 g', 'Head Shape:- Isometric Shape', 'Beam Width:- 20.5 mm']",4.2,1001,1999,http://dl.flipkart.com/dl/yonex-mp-29-lt-multicolor-strung-badminton-racquet/p/itmdcnwavxfwsava?pid=RAQF6TBDVJ5KJHHZ
YONEX ZR101 Light Black Strung Badminton Racquet,"['Cover: Full Cover', 'Strung Type:- Strung', 'Grip Size: G4 - 8.25 cm', 'Weight: 85 g', 'Head Shape:- Isometric Shape']",3.9,1043,571,http://dl.flipkart.com/dl/yonex-zr101-light-black-strung-badminton-racquet/p/itmdf4fcc33daa8d?pid=RAQFMJPQTBUAFFYP
YONEX ALLENGLAND15 Badminton Shoes For Men,"['Colour: Blue', 'Outer Material: Synthetic, Textile', 'Inner Material: Tru Cushion Insole + Phylon Midsole + Tpu Support']",4,722,1937,http://dl.flipkart.com/dl/yonex-allengland15-badminton-shoes-men/p/itmb6f891c43811d?pid=SHOFUYR9K4H4FTTZ
YONEX Nanoray 7000I Blue Strung Badminton Racquet,"['Cover: Full Cover', 'Strung Type:- Strung', 'Grip Size: G4 - 8.25 cm', 'Weight: 90 g', 'Head Shape:- Isometric Shape', 'Beam Width:- 20 mm']",4.1,11229,1599,http://dl.flipkart.com/dl/yonex-nanoray-7000i-blue-strung-badminton-racquet/p/itmfb234zhwpg3vf?pid=RAQEPB4HZTERQFGR
Yonex Nanoflare Drive Red Black Strung Badminton Racquet (with Sonic Flare System Tension: 28 Lbs),"['Cover: Full Cover', 'Strung Type:- Strung', 'Grip Size: G4 - 8.25 cm', 'Weight: 80 g', 'Head Shape:- Isometric Shape', 'Beam Width:- 20.5 mm']",4.2,774,1799,http://dl.flipkart.com/dl/yonex-nanoflare-drive-red-black-strung-badminton-racquet-with-sonic-flare-system-tension-28-lbs/p/itm4d12b345e0f86?pid=RAQFH7V7TGHZEYHH
YONEX Mavis 10 Nylon Shuttle  - Multicolor,"['Nylon', 'Composite cork Base Material', 'Nylon Skirt Material', 'Slow, 75']",4.2,16122,675,http://dl.flipkart.com/dl/yonex-mavis-10-nylon-shuttle-multicolor/p/itmf72tkhnhyq4hu?pid=STLEPB5XEEFBEYPF
n Racquet,"<div class=""_30jeq3"">₹1,889</div>"
33,"YONEX GR-303 Yellow, Blue Strung Badminton Racquet","<div class=""_30jeq3"">₹1,349</div>"
34,YONEX VT 0.7 DG SLIM Black Strung Badminton Racquet,"<div class=""_30jeq3"">₹2,909</div>"
35,Yonex Nanoflare Drive Red Black Strung Badminton Racquet (with Sonic Flare System Tension: 28 Lbs),"<div class=""_30jeq3"">₹1,799</div>"
36,YONEX Muscle Power 29 Light New 2020 Model (Slim Shaft) - Dark Grey Grey Strung Badminton Racquet,"<div class=""_30jeq3"">₹2,769</div>"
37,YONEX Badminton Racquet Muscle Power 29 LT Black Strung Badminton Racquet,"<div class=""_30jeq3"">₹3,690</div>"
38,"YONEX ASTR 38D BLACK RED Strung Badminton Racquet& Free 1Grip Black, Red Strung Badminton Racquet","<div class=""_30jeq3"">₹2,975</div>"
39,YONEX Mavis 10 Nylon Shuttle  - Multicolor,"<div class=""_30jeq3"">₹675</div>"
