,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
0,"Yonex Nanoray Light 18i Black Strung Badminton Racquet  (Weight: 77 g, Tension: 30 lbs)","1,709",No similar product,0
1,YONEX ZR 100 LIGHT Black Strung Badminton Racquet,560,No similar product,0
2,YONEX ARC 71 LIGHT Red Strung Badminton Racquet,"1,709",No similar product,0
3,YONEX ZR 100 LIGHT Black Strung Badminton Racquet,500,No similar product,0
4,YONEX ZR 100 LIGHT Blue Strung Badminton Racquet,560,No similar product,0
5,YONEX ZR 100 LIGHT Blue Strung Badminton Racquet,537,No similar product,0
6,YONEX ZR 100 LIGHT Orange Strung Badminton Racquet,479,No similar product,0
7,YONEX GR 303 F Yellow Strung Badminton Racquet,449,No similar product,0
8,YONEX ZR101 Light Yellow Strung Badminton Racquet,516,No similar product,0
9,YONEX GR 303 F Blue Strung Badminton Racquet,479,YONEX GR 303 ALUMINUM BLEND BADMINTON RACQUET WITH FULL COVER,699
10,YONEX GR 303 F Red Strung Badminton Racquet,479,No similar product,0
11,YONEX MAVIS 350 Nylon Shuttle  - Yellow,949,No similar product,0
12,YONEX Mavis 200i Green Cap Nylon Shuttle  - Yellow,462,No similar product,0
13,YONEX Smash Badminton Shoes For Men,"1,393",No similar product,0
14,YONEX ZR111LIGHT Orange Strung Badminton Racquet,539,No similar product,0
15,YONEX GR 303 F Multicolor Strung Badminton Racquet,479,No similar product,0
16,"YONEX ZR 100 Light Red, Silver Strung Badminton Racquet",489,YONEX ZR 100 LIGHT ALUMINIUM BADMINTON RACQUET WITH FULL COVER | MADE IN INDIA,"1,499"
17,"Yonex Astrox Smash Blue Strung Ultra Light Badminton racquet (Weight: 73 g, Tension: 28 Lbs)","2,070",No similar product,0
18,YONEX VT 2 DG Yellow Strung Badminton Racquet,"2,509",No similar product,0
19,YONEX MP 29 LT Multicolor Strung Badminton Racquet,"1,999",No similar product,0
20,YONEX Nanoray 70 Light Black Strung Badminton Racquet,"1,669","YONEX NANORAY LIGHT 18I GRAPHITE BADMINTON RACQUET (77G, 30 LBS TENSION)","1,203"
21,YONEX Arc Lite Black Strung Badminton Racquet,"1,699",No similar product,0
22,YONEX Nanoray 6000i Blue Strung Badminton Racquet,"1,203","YONEX NANORAY LIGHT 18I GRAPHITE BADMINTON RACQUET (77G, 30 LBS TENSION)","1,203"
23,YONEX ZR101 Light Black Strung Badminton Racquet,571,No similar product,0
24,YONEX Gr 301 Multicolor Strung Badminton Racquet,510,No similar product,0
25,YONEX Mavis 10 Nylon Shuttle  - Yellow,659,YONEX MAVIS 350 NYLON SHUTTLECOCK (PACK OF 6) - MADE IN JAPAN,462
26,"YONEX Mavis 10 Nylon Shuttle  - Blue, Yellow",675,No similar product,0
27,YONEX ALLENGLAND15 Badminton Shoes For Men,"1,937",No similar product,0
28,Yonex Nanoflare Drive Purple Black Strung Badminton Racquet (with Sonic Flare System Tension: 28 Lbs),"1,799",No similar product,0
29,"YONEX Nanoray 6000i Red, Black Strung Badminton Racquet","1,199",No similar product,0
30,YONEX GR 303 SN F Black Strung Badminton Racquet,510,No similar product,0
31,YONEX Nanoray 7000I Blue Strung Badminton Racquet,"1,599",No similar product,0
32,YONEX VT 100TH Multicolor Strung Badminton Racquet,"1,889",No similar product,0
33,"YONEX GR-303 Yellow, Blue Strung Badminton Racquet","1,349",No similar product,0
34,YONEX VT 0.7 DG SLIM Black Strung Badminton Racquet,"2,909",No similar product,0
35,Yonex Nanoflare Drive Red Black Strung Badminton Racquet (with Sonic Flare System Tension: 28 Lbs),"1,799",No similar product,0
36,YONEX Muscle Power 29 Light New 2020 Model (Slim Shaft) - Dark Grey Grey Strung Badminton Racquet,"2,769",No similar product,0
37,YONEX Badminton Racquet Muscle Power 29 LT Black Strung Badminton Racquet,"3,690",No similar product,0
38,"YONEX ASTR 38D BLACK RED Strung Badminton Racquet& Free 1Grip Black, Red Strung Badminton Racquet","2,975","YONEX ASTROX 38S (SKILL) BADMINTON RACQUET WITH FREE FULL COVER (EMERALD GREEN, G4, 83 GRAMS, 28 LBS TENSION) | ROTATIONAL GENERATOR SYSTEM","2,698"
39,YONEX Mavis 10 Nylon Shuttle  - Multicolor,675,YONEX MAVIS 350 NYLON SHUTTLECOCK (PACK OF 6) - MADE IN JAPAN,462
